Course_ID,Course_Name,Field,Level,Required_Subjects,Min_Grade,Skills_Taught,Description
1057101,Bachelor of Science in Math & Stats,Math & Stats,Undergraduate,"Math A, Eng/Kis C+, Chem/Bio C+",40.9,"probability, statistics, data analysis",Strong foundation in numbers and analytics.
1057102,Bachelor of Science in Math & Stats,Math & Stats,Undergraduate,"Math A, Eng/Kis C+, Chem/Bio C+",27.544,"probability, statistics, data analysis",Strong foundation in numbers and analytics.
1057103,Bachelor of Science in Health Sciences,Health Sciences,Undergraduate,"Bio C+, Chem C+, Math/Phys C+, Eng/Kis C+",35.236,"clinical care, patient management, pharmacology",Prepares students for roles in healthcare and medicine.
1057104,Bachelor of Science in Health Sciences,Health Sciences,Undergraduate,"Bio C+, Chem C+, Math/Phys C+, Eng/Kis C+",40.513,"clinical care, patient management, pharmacology",Prepares students for roles in healthcare and medicine.
1057105,Bachelor of Science in Education,Education,Undergraduate,"Math C+, Eng/Kis C+, Bio C+",27.313,"curriculum design, pedagogy, classroom management",Prepares graduates to become teachers and education officers.
1057106,Bachelor of Science in Education,Education,Undergraduate,"Math C+, Eng/Kis C+, Bio C+",27.226,"curriculum design, pedagogy, classroom management",Prepares graduates to become teachers and education officers.
1057107,Bachelor of Science in Humanities,Humanities,Undergraduate,"Eng C+, Hist C+, Rel Stud C+",29.008,"communication, critical thinking, cultural studies",Provides a foundation in arts and social sciences.
1057108,Bachelor of Science in Business,Business,Undergraduate,"Math C+, Eng/Kis C+",37.87,"accounting, finance, management, marketing",Develops managerial and financial skills.
1057109,Bachelor of Science in Education,Education,Undergraduate,"Math C+, Eng/Kis C+, Bio C+",27.354,"curriculum design, pedagogy, classroom management",Prepares graduates to become teachers and education officers.
1057110,Bachelor of Science in Humanities,Humanities,Undergraduate,"Eng C+, Hist C+, Rel Stud C+",29.478,"communication, critical thinking, cultural studies",Provides a foundation in arts and social sciences.
1057111,Bachelor of Science in Education,Education,Undergraduate,"Math C+, Eng/Kis C+, Bio C+",36.049,"curriculum design, pedagogy, classroom management",Prepares graduates to become teachers and education officers.
1057112,Bachelor of Science in Health Sciences,Health Sciences,Undergraduate,"Bio C+, Chem C+, Math/Phys C+, Eng/Kis C+",25.468,"clinical care, patient management, pharmacology",Prepares students for roles in healthcare and medicine.
1057113,Bachelor of Science in Education,Education,Undergraduate,"Math C+, Eng/Kis C+, Bio C+",33.2,"curriculum design, pedagogy, classroom management",Prepares graduates to become teachers and education officers.
1057114,Bachelor of Science in Math & Stats,Math & Stats,Undergraduate,"Math A, Eng/Kis C+, Chem/Bio C+",25.365,"probability, statistics, data analysis",Strong foundation in numbers and analytics.
1057115,Bachelor of Science in Education,Education,Undergraduate,"Math C+, Eng/Kis C+, Bio C+",29.675,"curriculum design, pedagogy, classroom management",Prepares graduates to become teachers and education officers.
1057116,Bachelor of Science in Education,Education,Undergraduate,"Math C+, Eng/Kis C+, Bio C+",38.654,"curriculum design, pedagogy, classroom management",Prepares graduates to become teachers and education officers.
1057117,Bachelor of Science in Law,Law,Undergraduate,"Eng C+, Hist C+, Rel Stud C+",26.994,"legal reasoning, jurisprudence, advocacy",Trains for legal professions and justice systems.
1057118,Bachelor of Science in Health Sciences,Health Sciences,Undergraduate,"Bio C+, Chem C+, Math/Phys C+, Eng/Kis C+",32.809,"clinical care, patient management, pharmacology",Prepares students for roles in healthcare and medicine.
1057119,Bachelor of Science in Agriculture,Agriculture,Undergraduate,"Bio C+, Chem C+, Math C+",43.226,"crop science, agribusiness, soil science","Trains in modern farming, agritech, and rural economics."
